,exact_name
0,Bering Sea
1,Bering Sea
2,Bering Sea
3,Bering Sea
4,Bering Sea
5,Bering Sea
6,Bering Sea
7,Bering Sea
8,Bering Sea
9,North Pacific Ocean
10,Bering Sea
11,Bering Sea
12,Bering Sea
13,North Pacific Ocean
14,North Pacific Ocean
15,Bering Sea
16,Bering Sea
17,South Pacific Ocean
18,South Pacific Ocean
19,Bering Sea
20,Bering Sea
21,Bering Sea
22,Bering Sea
23,Bering Sea
24,Bering Sea
25,North Pacific Ocean
26,Bering Sea
27,Bering Sea
28,Bering Sea
29,Bering Sea
30,Bering Sea
31,Bering Sea
32,Bering Sea
33,North Pacific Ocean
34,South Pacific Ocean
35,South Pacific Ocean
36,North Pacific Ocean
37,Bering Sea
38,Bering Sea
39,North Pacific Ocean
40,Bering Sea
41,Bering Sea
42,Bering Sea
43,Bering Sea
44,Bering Sea
45,Bering Sea
46,Bering Sea
47,Bering Sea
48,Bering Sea
49,Bering Sea
50,Bering Sea
51,Bering Sea
52,Bering Sea
53,Bering Sea
54,Bering Sea
55,Bering Sea
56,Bering Sea
57,Bering Sea
58,North Pacific Ocean
59,Bering Sea
60,North Pacific Ocean
61,Bering Sea
62,South Pacific Ocean
63,Bering Sea
64,Bering Sea
65,Bering Sea
66,Bering Sea
67,Bering Sea
68,South Pacific Ocean
69,South Pacific Ocean
70,Bering Sea
71,Bering Sea
72,North Pacific Ocean
73,North Pacific Ocean
74,Bering Sea
75,Bering Sea
76,South Pacific Ocean
77,South Pacific Ocean
78,Bering Sea
79,South Pacific Ocean
80,Bering Sea
81,Bering Sea
82,North Pacific Ocean
83,North Pacific Ocean
84,Bering Sea
85,Bering Sea
86,Bering Sea
87,Bering Sea
88,Bering Sea
89,Bering Sea
90,North Pacific Ocean
91,Bering Sea
92,Bering Sea
93,Bering Sea
94,Bering Sea
95,South Pacific Ocean
96,South Pacific Ocean
97,South Pacific Ocean
98,North Pacific Ocean
99,Bering Sea
100,South Pacific Ocean
101,Bering Sea
102,North Pacific Ocean
103,North Pacific Ocean
104,Bering Sea
105,Bering Sea
106,North Pacific Ocean
107,Bering Sea
108,South Pacific Ocean
109,South Pacific Ocean
110,South Pacific Ocean
111,Bering Sea
112,Bering Sea
113,Bering Sea
114,North Pacific Ocean
115,North Pacific Ocean
116,Bering Sea
117,Bering Sea
118,Bering Sea
119,Bering Sea
120,Bering Sea
121,North Pacific Ocean
122,North Pacific Ocean
123,South Pacific Ocean
124,Bering Sea
125,Bering Sea
126,North Pacific Ocean
127,Bering Sea
128,North Pacific Ocean
129,North Pacific Ocean
130,Bering Sea
131,Bering Sea
132,Bering Sea
133,Bering Sea
134,Bering Sea
135,North Pacific Ocean
136,Bering Sea
137,Bering Sea
138,Bering Sea
139,Bering Sea
140,Bering Sea
141,Bering Sea
142,South Pacific Ocean
143,North Pacific Ocean
144,South Pacific Ocean
145,North Pacific Ocean
146,Bering Sea
147,Bering Sea
148,Bering Sea
149,North Pacific Ocean
150,North Pacific Ocean
151,North Pacific Ocean
152,North Pacific Ocean
153,Bering Sea
154,Bering Sea
155,North Pacific Ocean
156,Bering Sea
157,Bering Sea
158,Bering Sea
159,Bering Sea
160,Bering Sea
161,Bering Sea
162,Bering Sea
163,Bering Sea
164,Bering Sea
165,North Pacific Ocean
166,North Pacific Ocean
167,South Pacific Ocean
168,South Pacific Ocean
169,Bering Sea
170,Bering Sea
