,ocean
0,atlantic
1,false
2,atlantic
3,indian
4,indian
5,false
6,atlantic
7,false
8,false
9,pacific
10,false
11,indian
12,false
13,indian
14,false
15,false
16,pacific
17,atlantic
18,indian
19,atlantic
20,indian
21,false
22,pacific
23,indian
24,indian
25,false
26,indian
27,atlantic
28,indian
29,pacific
30,pacific
31,indian
32,false
33,atlantic
34,atlantic
35,atlantic
36,atlantic
37,false
38,false
39,atlantic
40,atlantic
41,atlantic
42,indian
43,indian
44,atlantic
45,atlantic
46,atlantic
47,atlantic
48,atlantic
49,atlantic
50,atlantic
51,atlantic
52,false
53,false
54,false
55,false
56,false
57,atlantic
58,atlantic
59,atlantic
60,atlantic
61,atlantic
62,atlantic
63,false
64,atlantic
65,atlantic
66,atlantic
67,atlantic
68,indian
69,false
70,atlantic
71,atlantic
72,false
73,false
74,indian
75,atlantic
76,atlantic
77,false
78,false
79,false
80,atlantic
81,false
82,false
83,false
84,atlantic
85,false
86,false
87,false
88,false
89,false
90,false
91,atlantic
92,false
93,false
94,false
95,false
96,false
97,indian
98,atlantic
99,false
100,false
101,false
102,false
103,atlantic
104,atlantic
105,indian
106,atlantic
107,atlantic
108,atlantic
109,atlantic
110,atlantic
111,atlantic
112,atlantic
113,atlantic
114,atlantic
115,atlantic
116,atlantic
117,atlantic
118,false
119,atlantic
120,false
121,false
122,false
123,false
124,false
125,false
126,false
127,false
128,false
129,false
130,false
131,false
132,false
133,false
134,false
135,false
136,false
137,false
138,false
139,false
140,false
141,false
142,false
143,false
144,false
145,false
146,false
147,false
148,false
149,false
150,false
151,false
152,false
153,false
154,false
155,false
156,false
157,false
158,false
159,false
160,false
161,false
162,false
163,false
164,false
165,false
166,false
167,false
168,false
169,false
170,false
171,false
172,false
173,false
174,false
175,false
176,false
177,false
178,false
179,false
180,atlantic
181,pacific
182,false
183,false
184,false
185,pacific
186,pacific
187,pacific
188,false
189,false
190,false
191,atlantic
192,atlantic
193,false
194,atlantic
195,indian
196,false
197,pacific
198,false
199,false
200,indian
201,indian
202,indian
203,pacific
204,pacific
205,pacific
206,pacific
207,pacific
208,pacific
209,pacific
210,pacific
211,pacific
212,pacific
213,pacific
214,pacific
215,pacific
216,pacific
217,pacific
218,pacific
219,pacific
220,pacific
221,false
222,pacific
223,indian
224,indian
225,indian
226,indian
227,false
228,indian
229,indian
230,pacific
231,false
232,false
233,pacific
234,pacific
235,pacific
236,false
237,false
238,false
239,false
240,pacific
241,pacific
242,pacific
243,false
244,pacific
245,pacific
246,pacific
247,atlantic
248,atlantic
249,atlantic
250,atlantic
251,atlantic
252,pacific
253,pacific
254,pacific
255,pacific
256,pacific
257,pacific
258,pacific
259,pacific
260,false
261,indian
262,indian
263,indian
264,indian
265,indian
266,indian
267,indian
268,indian
269,false
270,pacific
271,pacific
272,false
273,false
274,false
275,pacific
276,pacific
277,false
278,false
279,false
280,false
281,false
282,false
283,false
284,false
285,false
286,false
287,atlantic
288,atlantic
289,false
290,pacific
291,false
