,oceans_list
0,Atlantic
1,Atlantic
2,Atlantic
3,Atlantic
4,Atlantic
5,Atlantic
6,Atlantic
7,Atlantic
8,Atlantic
9,Atlantic
10,Atlantic
11,Atlantic
12,Atlantic
13,Atlantic
14,Atlantic
15,Atlantic
16,Atlantic
17,Atlantic
18,Atlantic
19,Atlantic
20,Atlantic
21,Atlantic
22,Atlantic
23,Atlantic
24,Atlantic
25,Atlantic
26,Pacific
27,Atlantic
28,Atlantic
29,Atlantic
30,Atlantic
31,Atlantic
32,Atlantic
33,Atlantic
34,Atlantic
35,Atlantic
36,Atlantic
37,Atlantic
38,Atlantic
39,Atlantic
40,Atlantic
41,Atlantic
42,Pacific
43,False
44,False
45,Atlantic
46,Pacific
47,Pacific
48,Pacific
49,Pacific
50,Pacific
51,Pacific
52,Pacific
53,Atlantic
54,Pacific
55,Atlantic
56,Atlantic
57,Pacific
58,Pacific
59,Atlantic
60,Atlantic
61,Pacific
62,Atlantic
63,Atlantic
64,Pacific
65,Pacific
66,Pacific
67,Pacific
68,Atlantic
69,Atlantic
70,Atlantic
71,Atlantic
72,Atlantic
73,Atlantic
74,Atlantic
75,Pacific
76,Pacific
77,Pacific
78,Pacific
79,Pacific
80,Pacific
81,Pacific
82,Pacific
83,Pacific
84,Pacific
85,Pacific
86,Pacific
87,Pacific
88,Atlantic
89,Atlantic
90,Atlantic
91,Pacific
92,Pacific
93,Pacific
94,Pacific
95,Pacific
96,Pacific
97,Pacific
98,False
99,False
100,Pacific
101,Pacific
102,Pacific
103,Pacific
104,Pacific
105,Atlantic
106,Atlantic
107,Atlantic
108,Atlantic
109,Pacific
110,Pacific
111,Pacific
112,Pacific
113,Pacific
114,Pacific
115,False
116,False
117,Atlantic
118,Atlantic
119,Atlantic
120,Atlantic
121,Atlantic
122,Atlantic
123,Atlantic
124,False
125,Pacific
126,Atlantic
127,Pacific
128,Indian
129,False
130,False
131,Pacific
132,False
133,Pacific
134,Pacific
135,Pacific
136,Pacific
137,Pacific
138,Pacific
139,Pacific
140,Indian
141,Pacific
142,False
143,Atlantic
144,Pacific
145,Atlantic
146,Indian
147,Indian
148,Indian
149,Indian
150,Indian
151,Indian
152,Indian
153,Indian
154,Indian
155,Indian
156,Pacific
157,False
158,False
159,Atlantic
160,Atlantic
161,Atlantic
162,Atlantic
163,Atlantic
164,Atlantic
165,Atlantic
166,Atlantic
167,Atlantic
168,Atlantic
169,Atlantic
170,Atlantic
171,Atlantic
172,Atlantic
173,Indian
174,Indian
175,Indian
176,Indian
177,Indian
178,Indian
179,False
180,False
181,Atlantic
182,Atlantic
183,Atlantic
184,Atlantic
185,Pacific
186,False
187,Pacific
188,Atlantic
189,Atlantic
190,Atlantic
191,Atlantic
192,Atlantic
193,Atlantic
194,Atlantic
195,Atlantic
196,Atlantic
197,Atlantic
198,Atlantic
199,Atlantic
200,Atlantic
201,Atlantic
202,Atlantic
203,Atlantic
204,Atlantic
205,Atlantic
206,Atlantic
207,Atlantic
208,Atlantic
209,Atlantic
210,Atlantic
211,Atlantic
212,Atlantic
213,Atlantic
214,Atlantic
215,Atlantic
216,Atlantic
217,Atlantic
218,Atlantic
219,Atlantic
220,Atlantic
221,Atlantic
222,Atlantic
223,Atlantic
224,Atlantic
225,Atlantic
226,Atlantic
227,Atlantic
228,Atlantic
229,Atlantic
230,Atlantic
231,Atlantic
232,Atlantic
233,Atlantic
234,Atlantic
235,Atlantic
236,Atlantic
237,Atlantic
238,Atlantic
239,Pacific
240,Pacific
241,Pacific
242,False
243,Pacific
244,Pacific
245,Pacific
246,Atlantic
247,Pacific
248,Pacific
249,Pacific
250,Pacific
251,Pacific
252,Atlantic
253,Atlantic
254,Pacific
255,Pacific
256,Pacific
257,Atlantic
258,Atlantic
259,Pacific
260,Pacific
261,Pacific
262,Pacific
263,False
264,Pacific
265,Pacific
266,Pacific
267,Atlantic
268,Pacific
269,Pacific
270,Pacific
271,Pacific
272,Pacific
273,Pacific
274,Pacific
275,Pacific
276,Pacific
277,Pacific
278,Pacific
279,Pacific
280,Pacific
281,Pacific
282,Pacific
283,Pacific
284,Pacific
285,Pacific
286,Pacific
287,Pacific
288,Pacific
289,Pacific
290,Pacific
291,Pacific
292,Pacific
293,False
294,Pacific
295,Pacific
296,Pacific
297,Atlantic
298,Pacific
299,Pacific
300,Atlantic
301,Atlantic
302,Atlantic
303,Atlantic
304,Atlantic
305,Atlantic
306,Atlantic
307,Atlantic
308,Pacific
309,Pacific
310,Pacific
311,Pacific
312,Pacific
313,False
314,False
315,Pacific
316,Pacific
317,Pacific
318,Pacific
319,Pacific
320,Pacific
321,Pacific
322,Pacific
323,False
324,Pacific
325,Pacific
326,Atlantic
327,Pacific
328,Pacific
329,Atlantic
330,Atlantic
331,False
332,Indian
333,Indian
334,Indian
335,Indian
336,Indian
337,Indian
338,Indian
339,Indian
340,Indian
341,Indian
342,False
343,False
344,False
345,Pacific
346,False
347,Indian
348,Indian
349,Atlantic
350,Atlantic
351,Atlantic
352,Atlantic
353,Atlantic
354,Atlantic
355,Atlantic
356,Atlantic
357,Atlantic
358,Atlantic
359,Atlantic
360,Atlantic
361,Atlantic
362,Atlantic
363,Atlantic
364,Atlantic
365,Atlantic
366,Indian
367,Indian
368,Indian
369,Indian
370,Indian
371,Atlantic
372,Atlantic
373,False
374,Atlantic
375,Atlantic
376,False
377,Indian
378,Atlantic
379,Atlantic
380,Atlantic
381,Atlantic
382,Atlantic
383,Atlantic
384,Atlantic
385,Atlantic
386,Atlantic
387,Atlantic
388,Atlantic
389,Atlantic
390,Atlantic
391,Atlantic
392,Atlantic
393,Atlantic
394,Atlantic
395,Atlantic
396,Atlantic
397,Atlantic
398,Atlantic
399,Atlantic
400,Atlantic
401,Atlantic
402,Atlantic
403,Atlantic
404,Atlantic
405,Atlantic
406,Atlantic
407,Atlantic
408,Atlantic
409,Atlantic
410,Atlantic
411,Atlantic
412,Atlantic
413,Atlantic
414,Atlantic
415,Atlantic
416,Atlantic
417,Atlantic
418,Atlantic
419,Atlantic
420,Pacific
421,Pacific
422,Pacific
423,Pacific
424,Pacific
425,Pacific
426,Pacific
427,False
428,Pacific
429,Pacific
430,Pacific
431,Pacific
432,Pacific
433,Pacific
434,Pacific
435,Atlantic
436,Atlantic
437,Atlantic
438,Indian
439,Pacific
440,Pacific
441,Pacific
442,Atlantic
443,Atlantic
444,Pacific
445,Atlantic
446,Pacific
447,Pacific
448,Atlantic
449,Atlantic
450,Atlantic
451,Atlantic
452,Atlantic
453,Atlantic
454,False
455,Pacific
456,Pacific
457,Atlantic
458,Pacific
459,Pacific
460,Pacific
461,Atlantic
462,Pacific
463,Atlantic
464,Pacific
465,Atlantic
466,Atlantic
467,Pacific
468,False
469,Pacific
470,Pacific
471,Pacific
472,Pacific
473,Pacific
474,Pacific
475,Pacific
476,Pacific
477,Pacific
478,Pacific
479,False
480,Atlantic
481,Pacific
482,Pacific
483,Pacific
484,Pacific
485,Atlantic
486,Atlantic
487,Atlantic
488,Atlantic
489,Pacific
490,Pacific
491,Pacific
492,Indian
493,Indian
494,Pacific
495,Pacific
496,Pacific
497,Pacific
498,Pacific
499,Pacific
500,Pacific
501,Pacific
502,Atlantic
503,Atlantic
504,Atlantic
505,Atlantic
506,Atlantic
507,Atlantic
508,False
509,False
510,Indian
511,Indian
512,Indian
513,Indian
514,Indian
515,Indian
516,Pacific
517,False
518,Indian
519,Atlantic
520,Atlantic
521,Atlantic
522,Atlantic
523,Indian
524,Atlantic
525,Indian
526,Indian
527,Indian
528,Indian
529,Indian
530,Indian
531,Indian
532,Indian
533,Atlantic
534,False
535,False
536,Atlantic
537,Atlantic
538,Atlantic
539,Indian
540,Atlantic
541,Atlantic
542,Atlantic
543,Atlantic
544,Atlantic
545,Atlantic
546,Atlantic
547,Atlantic
548,Atlantic
549,Atlantic
550,Atlantic
551,Atlantic
552,Atlantic
553,Atlantic
554,Atlantic
555,Atlantic
556,Atlantic
557,Atlantic
558,Atlantic
559,Atlantic
560,Atlantic
561,Atlantic
562,Atlantic
563,Atlantic
564,Atlantic
565,Atlantic
566,Atlantic
567,Atlantic
568,Atlantic
569,Atlantic
570,Atlantic
571,Atlantic
572,Atlantic
573,Atlantic
574,Atlantic
575,Pacific
576,Atlantic
577,Atlantic
578,Atlantic
579,Atlantic
580,Atlantic
581,Atlantic
582,Atlantic
583,Pacific
584,Atlantic
585,Atlantic
586,Atlantic
587,Atlantic
588,Atlantic
589,Pacific
590,Pacific
591,False
592,Pacific
593,Pacific
594,Pacific
595,Pacific
596,Pacific
597,Pacific
598,Pacific
599,Pacific
600,Pacific
601,Pacific
602,Pacific
603,Pacific
604,Atlantic
605,Pacific
606,Atlantic
607,Pacific
608,Pacific
609,Pacific
610,Atlantic
611,Atlantic
612,Atlantic
613,Pacific
614,Pacific
615,Pacific
616,Pacific
617,Pacific
618,Pacific
619,Atlantic
620,Atlantic
621,Atlantic
622,Atlantic
623,Pacific
624,Pacific
625,Pacific
626,Pacific
627,Pacific
628,Pacific
629,Pacific
630,Atlantic
631,Pacific
632,Pacific
633,Pacific
634,Pacific
635,Pacific
636,False
637,Pacific
638,Pacific
639,Atlantic
640,Pacific
641,Pacific
642,Pacific
643,False
644,Pacific
645,Pacific
646,Pacific
647,Indian
648,Atlantic
