mmsi,score,flag,gear type,vessel type
111112726,0,other,other,other
150402949,0,other,other,other
204201370,0,other,other,other
204206740,0,other,other,other
204209840,0,other,other,other
204225000,0,other,other,other
204284000,0,other,other,other
204814000,0,other,other,other
224000240,0,other,other,other
224006570,0,other,other,other
224014950,0,other,other,other
224017830,0,other,other,other
224019630,0,other,other,other
224019630,0,other,other,other
224069690,0,other,other,other
224070000,0,other,other,other
224070000,0,other,other,other
224074180,0,other,other,other
224089000,0,other,other,other
224089000,0,other,other,other
224139820,0,other,other,other
224152340,0,other,other,other
224152340,0,other,other,other
224156290,0,other,other,other
224218930,0,other,other,other
224218930,0,other,other,other
224623000,0,other,other,other
225360000,0,other,other,other
225362000,0,other,other,other
227145800,0,other,other,other
227378000,0,other,other,other
228858000,0,other,other,other
231140000,0,other,other,other
232006590,0,other,other,other
248000728,0,other,other,other
250001676,0,other,other,other
257167320,0,other,other,other
257388000,0,other,other,other
257548600,0,other,other,other
257757000,0,other,other,other
259526000,0,other,other,other
259591508,0,other,other,other
272770000,0,other,other,other
272770000,0,other,other,other
272770000,0,other,other,other
273297100,0,other,other,other
273314740,0,other,other,other
273338420,0,other,other,other
273338570,0,other,other,other
273355070,0,other,other,other
273376350,0,other,other,other
273383770,0,other,other,other
273390570,0,other,other,other
273440730,0,other,other,other
273447860,0,other,other,other
273510600,0,other,other,other
273514800,0,other,other,other
273828600,0,other,other,other
273841100,0,other,other,other
273843800,0,other,other,other
273844800,0,other,other,other
273852400,0,other,other,other
273853400,0,other,other,other
273853400,0,other,other,other
303397000,0,other,other,other
303539000,0,other,other,other
303546000,0,other,other,other
303679000,0,other,other,other
312397000,0,other,other,other
312397000,0,other,other,other
316002642,0,other,other,other
316004040,0,other,other,other
316011884,0,other,other,other
347003300,0,other,other,other
355229000,0,other,other,other
366298000,0,other,other,other
366433000,0,other,other,other
366433000,0,other,other,other
367040420,0,other,other,other
367045260,0,other,other,other
367101660,0,other,other,other
367113880,0,other,other,other
367132160,0,other,other,other
367132160,0,other,other,other
367137680,0,other,other,other
367147230,0,other,other,other
367151060,0,other,other,other
367172760,0,other,other,other
367178220,0,other,other,other
367178220,0,other,other,other
367178220,0,other,other,other
367311460,0,other,other,other
367345980,0,other,other,other
367345980,0,other,other,other
367363350,0,other,other,other
367369840,0,other,other,other
367377660,0,other,other,other
367377660,0,other,other,other
367377660,0,other,other,other
367408020,0,other,other,other
367530000,0,other,other,other
367561420,0,other,other,other
367561420,0,other,other,other
367630000,0,other,other,other
367741830,0,other,other,other
367788350,0,other,other,other
367788350,0,other,other,other
367788350,0,other,other,other
367788350,0,other,other,other
368113610,0,other,other,other
368499000,0,other,other,other
369174000,0,other,other,other
369174000,0,other,other,other
369174000,0,other,other,other
369174000,0,other,other,other
369283000,0,other,other,other
369283000,0,other,other,other
412329435,0,other,other,other
412329435,0,other,other,other
412329435,0,other,other,other
412330938,0,other,other,other
412331067,0,other,other,other
412331209,0,other,other,other
412331209,0,other,other,other
412341272,0,other,other,other
412420164,0,other,other,other
412420666,0,other,other,other
412440244,0,other,other,other
412440495,0,other,other,other
412446502,0,other,other,other
412697270,0,other,other,other
416000206,0,other,other,other
416005557,0,other,other,other
431004044,0,other,other,other
431004044,0,other,other,other
431200140,0,other,other,other
431410000,0,other,other,other
431426000,0,other,other,other
431601657,0,other,other,other
432927000,0,other,other,other
432927000,0,other,other,other
440038000,0,other,other,other
440203000,0,other,other,other
440347000,0,other,other,other
440347000,0,other,other,other
440755000,0,other,other,other
503003170,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503220100,0,other,other,other
503595000,0,other,other,other
503667400,0,other,other,other
503667400,0,other,other,other
512027000,0,other,other,other
512116000,0,other,other,other
512454000,0,other,other,other
601106600,0,other,other,other
601179900,0,other,other,other
601204400,0,other,other,other
601244000,0,other,other,other
601271000,0,other,other,other
601333500,0,other,other,other
601333500,0,other,other,other
601352000,0,other,other,other
601387000,0,other,other,other
601565000,0,other,other,other
601710000,0,other,other,other
601787000,0,other,other,other
603100289,0,other,other,other
627851000,0,other,other,other
635000300,0,other,other,other
635000300,0,other,other,other
635212000,0,other,other,other
645308000,0,other,other,other
645379000,0,other,other,other
645441000,0,other,other,other
665111119,0,other,other,other
665111119,0,other,other,other
725002350,0,other,other,other
770565353,0,other,other,other
770576050,0,other,other,other
770576401,0,other,other,other
770576439,0,other,other,other
888888819,0,other,other,other
900265007,0,other,other,other
150402949,0,other,other,other
204204780,0,other,other,other
204826000,0,other,other,other
204827000,0,other,other,other
204833000,0,other,other,other
204838000,0,other,other,other
204851000,0,other,other,other
211232850,0,other,other,other
211232850,0,other,other,other
211285880,0,other,other,other
211285880,0,other,other,other
224000220,0,other,other,other
224018440,0,other,other,other
224019630,0,other,other,other
224019630,0,other,other,other
224040840,0,other,other,other
224057370,0,other,other,other
224070000,0,other,other,other
224089000,0,other,other,other
224089000,0,other,other,other
224610000,0,other,other,other
224690000,0,other,other,other
224793000,0,other,other,other
224936000,0,other,other,other
224980000,0,other,other,other
225362000,0,other,other,other
227531000,0,other,other,other
227957000,0,other,other,other
228224000,0,other,other,other
228858000,0,other,other,other
231140000,0,other,other,other
231180000,0,other,other,other
232006840,0,other,other,other
235007300,0,other,other,other
235054804,0,other,other,other
250001676,0,other,other,other
257143420,0,other,other,other
257203000,0,other,other,other
257312740,0,other,other,other
257757000,0,other,other,other
257757000,0,other,other,other
258306000,0,other,other,other
258382000,0,other,other,other
259023000,0,other,other,other
259023000,0,other,other,other
259292000,0,other,other,other
259457000,0,other,other,other
259591508,0,other,other,other
259647000,0,other,other,other
272364000,0,other,other,other
272645000,0,other,other,other
273338420,0,other,other,other
273348470,0,other,other,other
273350120,0,other,other,other
273354130,0,other,other,other
273382360,0,other,other,other
273382360,0,other,other,other
273386230,0,other,other,other
273444060,0,other,other,other
273820320,0,other,other,other
273843610,0,other,other,other
273852400,0,other,other,other
303397000,0,other,other,other
303539000,0,other,other,other
312397000,0,other,other,other
312397000,0,other,other,other
316015074,0,other,other,other
338185000,0,other,other,other
338564000,0,other,other,other
355229000,0,other,other,other
355229000,0,other,other,other
366298000,0,other,other,other
366298000,0,other,other,other
366338750,0,other,other,other
366338750,0,other,other,other
366433000,0,other,other,other
366433000,0,other,other,other
366752970,0,other,other,other
366830940,0,other,other,other
366864820,0,other,other,other
367045260,0,other,other,other
367050980,0,other,other,other
367094420,0,other,other,other
367095130,0,other,other,other
367101660,0,other,other,other
367113880,0,other,other,other
367132160,0,other,other,other
367147230,0,other,other,other
367151060,0,other,other,other
367172760,0,other,other,other
367183130,0,other,other,other
367324020,0,other,other,other
367330420,0,other,other,other
367339250,0,other,other,other
367364340,0,other,other,other
367374000,0,other,other,other
367377660,0,other,other,other
367385840,0,other,other,other
367408210,0,other,other,other
367411730,0,other,other,other
367411730,0,other,other,other
367411730,0,other,other,other
367411730,0,other,other,other
367512180,0,other,other,other
367512490,0,other,other,other
367588710,0,other,other,other
367588710,0,other,other,other
367721000,0,other,other,other
367721000,0,other,other,other
367788350,0,other,other,other
369174000,0,other,other,other
369283000,0,other,other,other
412329436,0,other,other,other
412329436,0,other,other,other
412331016,0,other,other,other
412331016,0,other,other,other
412331071,0,other,other,other
412331071,0,other,other,other
412331209,0,other,other,other
412331209,0,other,other,other
412440244,0,other,other,other
412440435,0,other,other,other
412440485,0,other,other,other
412697150,0,other,other,other
416000206,0,other,other,other
416002402,0,other,other,other
416005557,0,other,other,other
416038700,0,other,other,other
431200130,0,other,other,other
431200250,0,other,other,other
431200990,0,other,other,other
431346000,0,other,other,other
431602570,0,other,other,other
431680000,0,other,other,other
431801000,0,other,other,other
440025000,0,other,other,other
440038000,0,other,other,other
440203000,0,other,other,other
440282000,0,other,other,other
440347000,0,other,other,other
441864000,0,other,other,other
441864000,0,other,other,other
441868000,0,other,other,other
503039870,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503177200,0,other,other,other
503552000,0,other,other,other
503667400,0,other,other,other
503667400,0,other,other,other
503770000,0,other,other,other
512000121,0,other,other,other
512008000,0,other,other,other
512008000,0,other,other,other
512027000,0,other,other,other
512454000,0,other,other,other
518373000,0,other,other,other
518373000,0,other,other,other
601025100,0,other,other,other
601062400,0,other,other,other
601113400,0,other,other,other
601233000,0,other,other,other
601333500,0,other,other,other
601352000,0,other,other,other
601613000,0,other,other,other
601770000,0,other,other,other
601787000,0,other,other,other
601787000,0,other,other,other
601787000,0,other,other,other
601787000,0,other,other,other
627691000,0,other,other,other
627694000,0,other,other,other
627762000,0,other,other,other
627762000,0,other,other,other
631720000,0,other,other,other
635218000,0,other,other,other
635218000,0,other,other,other
645079000,0,other,other,other
645388000,0,other,other,other
645503000,0,other,other,other
659300000,0,other,other,other
659388000,0,other,other,other
665111130,0,other,other,other
710115699,0,other,other,other
770576439,0,other,other,other
888888819,0,other,other,other
150150254,0,other,other,other
150402949,0,other,other,other
150402949,0,other,other,other
204225000,0,other,other,other
204284000,0,other,other,other
204812000,0,other,other,other
204814000,0,other,other,other
204827000,0,other,other,other
204827000,0,other,other,other
204836000,0,other,other,other
224019630,0,other,other,other
224021580,0,other,other,other
224082460,0,other,other,other
224098930,0,other,other,other
224098930,0,other,other,other
224156290,0,other,other,other
224610000,0,other,other,other
225341000,0,other,other,other
225381000,0,other,other,other
225382000,0,other,other,other
225382000,0,other,other,other
227145800,0,other,other,other
227385000,0,other,other,other
227408000,0,other,other,other
227512000,0,other,other,other
227513000,0,other,other,other
227570000,0,other,other,other
228168600,0,other,other,other
232006840,0,other,other,other
247146630,0,other,other,other
257250320,0,other,other,other
257757000,0,other,other,other
257757000,0,other,other,other
257757000,0,other,other,other
258138000,0,other,other,other
258319000,0,other,other,other
259023000,0,other,other,other
259023000,0,other,other,other
259565000,0,other,other,other
