mmsi,score,flag,gear type,vessel type
111112726,98.627975,other,pole_and_line,Fishing
150402949,86.89728,other,fishing,Fishing
204201370,94.54137,PRT,pole_and_line,Fishing
204206740,91.84959,PRT,pole_and_line,Fishing
204209840,98.627975,PRT,pole_and_line,Fishing
204225000,89.839066,PRT,fishing,Fishing
204284000,91.84959,PRT,fishing,Fishing
204814000,98.627975,PRT,fishing,Fishing
224000240,98.627975,ESP,pole_and_line,Fishing
224006570,91.84959,ESP,set_longlines,Fishing
224014950,94.54137,ESP,fishing,Fishing
224017830,91.84959,ESP,fixed_gear,Fishing
224019630,91.84959,ESP,fishing,Fishing
224069690,91.84959,ESP,fishing,Fishing
224070000,91.84959,ESP,fishing,Fishing
224074180,98.627975,ESP,pole_and_line,Fishing
224089000,89.839066,ESP,fishing,Fishing
224139820,94.54137,ESP,pole_and_line,Fishing
224152340,91.84959,ESP,set_longlines,Fishing
224156290,89.839066,ESP,pole_and_line,Fishing
224218930,94.54137,ESP,fishing,Fishing
224623000,94.54137,ESP,set_longlines,Fishing
225360000,94.54137,ESP,set_longlines,Fishing
225362000,94.54137,ESP,set_longlines,Fishing
227145800,89.839066,FRA,fishing,Fishing
227378000,91.84959,FRA,set_longlines,Fishing
228858000,94.54137,FRA,set_gillnets,Fishing
231140000,94.54137,FRO,set_longlines,Fishing
232006590,94.54137,GBR,fixed_gear,Fishing
248000728,91.84959,MLT,fishing,Fishing
250001676,89.839066,IRL,fishing,Fishing
257167320,91.84959,NOR,fishing,Fishing
257388000,94.54137,NOR,pots_and_traps,Fishing
257548600,91.84959,NOR,seiners,Fishing
257757000,94.54137,NOR,fishing,Fishing
259526000,98.627975,NOR,other_purse_seines,Fishing
259591508,98.627975,NOR,fishing,Fishing
272770000,98.627975,UKR,set_longlines,Fishing
273297100,98.627975,RUS,fishing,Fishing
273314740,94.54137,RUS,set_longlines,Fishing
273338420,98.627975,RUS,set_longlines,Fishing
273338570,98.627975,RUS,set_longlines,Fishing
273355070,94.54137,RUS,fishing,Fishing
273376350,98.627975,RUS,fishing,Fishing
